chapter: Analyse Éco > MI1 — Bases du raisonnement économique

QCM || L’économie étudie principalement || V:l’allocation de ressources rares face à des besoins illimités|uniquement la production agricole|les loisirs sans contrainte|la psychologie individuelle pure || Définition champ économique || MI1, Bases, QCM
QCM || Le coût psychologique de renonciation est || V:partie du coût d’opportunité|un coût comptable|une dépense fiscale|un prix d’équilibre || Subjectivité arbitrage || MI1, Arbitrage, QCM

# Série Partiel — Cas pratiques (MI1)
VF || Coût opportunité = Manque à gagner + Dépense réelle || V || Somme de ce qu'on perd ET de ce qu'on dépense || MI1, CoûtOpport, Principe
QR || Job à 12€/h, cinéma 2h. Manque à gagner = ? || V:24€|12€|9€|33€ || 2h × 12€/h = 24€ de salaire non perçu || MI1, Étape1
QR || Billet cinéma coûte 9€. Dépense = ? || V:9€|12€|24€|0€ || Dépense directe = 9€ || MI1, Étape2
QCM || Manque à gagner 24€ + Dépense 9€. Coût total = ? || V:33€|24€|9€|15€ || Coût opportunité = 24 + 9 = 33€ || Partiels 2024, MI1, Série A, QCM
VF || Coût opportunité d'un choix = Valeur de la meilleure alternative abandonnée || V || On perd la deuxième meilleure option || MI1, Coût, Principe
QCM || Options: Cours (8), Sport (7), Série (5). Choisir Cours, coût opportunité = ? || V:7|8|5|13 || Meilleure option abandonnée = Sport (7) || Partiels 2023, MI1, Série B, QCM
QCM || Budget de 100€. Deux biens: Livre (20€), Restaurant (25€). Panier (3 Livres, 1 Restaurant) est || V:feasible|infeasible|sur-budget de 5€ acceptable|optimal par définition || Coût = 3×20 + 25 = 85 < 100 ⇒ faisable. || Partiels 2024, MI1, Série A, QCM
QCM || Temps rare: 24h/j. Dormir 8h, étudier 6h, travailler 7h, loisirs 3h. Si travail ↑ à 8h, coût d’opportunité marginal d’1h est || V:1h de loisirs|1h d’étude|0|1h de sommeil || On suppose loisirs ajustables en dernier recours || Partiels 2022, MI1, Série C, QCM
QCM || Une carte de transport déjà payée (non remboursable) est || V:coût irrécupérable (sunk cost)|coût d’opportunité|coût marginal|coût variable || Les sunk costs ne doivent pas guider la décision marginale || Partiels 2023, MI1, Série B, QCM
QCM || Choix rationnel marginal: continuer un projet si || V:Bénéfice marginal ≥ Coût marginal|Bénéfice total ≥ Coût total|Coût fixe déjà engagé élevé|Objectif initial choisi || Règle de décision || Partiels 2024, MI1, Série A, QCM
QCM || Dans une communauté open-source (Wikipédia), la coordination repose sur || V:réciprocité et normes|prix de marché|contrainte légale uniquement|hiérarchie stricte || Allocation par réciprocité || Partiels 2022, MI1, Série C, QCM
QCM || Subvention aux transports en commun augmente équité mais génère || V:coût budgétaire (trade-off efficacité/équité)|suppression CO2 immédiate|annulation congestion routière instantanée|remplacement toute régulation || Arbitrage classique équité vs efficacité || Partiels 2024, MI1, Série A, QCM
QCM || Une donnée aberrante (outlier) dans une série d’indicateurs trimestriels doit être || V:analysée (contexte) avant exclusion|toujours supprimée|toujours conservée|remplacée par la moyenne || Esprit critique des données || Partiels 2023, MI1, Série B, QCM
QCM || Une affirmation non réfutable empiriquement est || V:non scientifique au sens poppérien|scientifique|confirmée|normative forcément || Réfutabilité || Partiels 2022, MI1, Série C, QCM
|| Analyse Éco, MI1, PIB, Prix, DragMatch
