chapter: HPE > Des origines à Marx

# QCM couvrant Antiquité, Scolastique, Mercantilistes, Pré-classiques, Physiocrates, Classiques, Marx

QCM || Le triptyque Analyse → Théorie → Histoire signifie principalement que || V:l'analyse nourrit la théorie et l'histoire éclaire ses limites|La théorie remplace l'histoire|L'histoire est inutile à l'analyse|La théorie ne change pas avec le temps || La fiche souligne la relation réflexive: observation → modèles → mise en contexte historique || HPE, Méthodo
QCM || Pour Turgot, la dynamique agricole est limitée par || V:les rendements décroissants|la loi des débouchés|la courbe d'indifférence|la monnaie fiduciaire || Idée reprise plus tard chez Ricardo/Malthus || HPE, Physiocrates
QCM || La « main invisible » chez Smith renvoie à || V:la coordination décentralisée via les prix|un ordre imposé par l'État|l'équilibre général walrasien|la stabilité monétaire automatique || Coordination des intérêts privés → intérêt général dans certaines conditions || HPE, Classiques
QCM || Chez Smith, la division du travail implique || V:des gains de productivité et d'innovation|une baisse des salaires par définition|la disparition du commerce extérieur|l'égalisation parfaite des profits || Exemples de manufacture d'épingles || HPE, Classiques
QCM || Dans la valeur-travail ricardienne, la valeur d'échange dépend || V:de la quantité de travail incorporée|de l'utilité marginale|des anticipations|de la politique monétaire || Cœur de la théorie classique de la valeur || HPE, Classiques
QCM || Selon Ricardo, la rente foncière provient || V:des rendements décroissants en agriculture|de la taxation de l'État|de la spéculation boursière|de la préférence pour la liquidité || Différences de fertilité → rentes différentielles || HPE, Classiques
QCM || L'avantage comparatif justifie || V:le commerce mutuellement bénéfique même en cas d'avantage absolu d'un pays|seulement le protectionnisme|la spécialisation sur les mêmes biens|l'arrêt des échanges si salaires différents || Coûts relatifs déterminants || HPE, Classiques
QCM || La loi de Say (long terme) affirme que || V:l'offre crée sa propre demande|la demande crée toujours l'offre|l'État crée la demande via le budget|la monnaie crée la richesse réelle || Impossibilité de crise générale durable en longue période || HPE, Classiques
QCM || Malthus anticipe que la population || V:croit plus vite que les subsistances, générant pression sur salaires|se stabilise au plein-emploi|détermine la valeur|détermine l'intérêt naturel || Essai de 1798: tension démographie/ressources || HPE, Classiques
QCM || J.S. Mill propose une synthèse libérale qui || V:intègre institutions et justice sociale|élimine l'État|remplace la valeur-travail par l'utilité marginale|rejette la liberté individuelle || Principes d'économie politique (1848) avec nuance réformatrice || HPE, Classiques
QCM || Chez Marx, la plus-value correspond || V:au travail non payé capté sous forme de profit|à la rente foncière|à l'intérêt monétaire naturel|au capital circulant || pl = e × v; exploitation du travail || HPE, Marx
QCM || La formule du taux de profit chez Marx est || V:r = pl / (c + v)|r = (p − w)/k|r = q − i|r = Y/K || Avec c capital constant, v capital variable || HPE, Marx
QCM || La « composition organique du capital » qui augmente (c/v ↑) implique || V:une tendance à la baisse du taux de profit|une hausse automatique des salaires|un équilibre walrasien|une disparition des crises || Mécanisme central des crises récurrentes || HPE, Marx
QCM || Pour Marx, les crises sont || V:endogènes au capitalisme (suraccumulation, dévalorisation)|uniquement dues aux chocs exogènes|impossibles en concurrence parfaite|résolues par la simple flexibilité des salaires || Dynamique historique et dialectique du capital || HPE, Marx
QCM || La critique marxienne de la « neutralité » économique signifie que || V:l'économie exprime des rapports sociaux|la monnaie est neutre à long terme|les préférences sont données|la technologie détermine seule la répartition || Approche socio-historique de l'économie politique || HPE, Marx
QCM || Petty (Political Arithmetick) contribue à || V:la mesure économique et une ébauche valeur travail/terre|l'équilibre général|la théorie keynésienne|l'utilité ordinale || Précurseur des comptes et d'une mesure « arithmétique » || HPE, Pré-classiques
QCM || Montchrétien (1615) est associé à || V:l’Œconomie politique et à un rôle stratégique de l’État|la théorie quantitative moderne|la préférence pour la liquidité|l'invariance de la monnaie || Traicté d’Œconomie politique; mercantilisme français || HPE, Mercantilisme
QCM || Cantillon insiste sur || V:la formation des prix par les coûts et la concurrence|la loi psychologique de la consommation|les anticipations rationnelles|le multiplicateur budgétaire || Essai: prix, entrepreneur, circuit || HPE, Pré-classiques
QCM || Chez les physiocrates, l'impôt unique cible || V:la rente foncière|les salaires|les profits industriels|les exportations || Puisque l'agriculture seule crée un produit net || HPE, Physiocrates
QCM || Un héritage majeur des physiocrates est || V:la préfiguration de la comptabilité nationale et du produit global|la théorie des anticipations rationnelles|la monnaie endogène|la préférence pour la liquidité || Le Tableau économique inspire les schémas de flux || HPE, Physiocrates
QCM || Un point commun des classiques est || V:une vision d'ordre naturel et d'autorégulation des marchés|le rejet du commerce international|l'explication des prix par l'utilité marginale|le chômage involontaire systémique || Croyance au plein-emploi de long terme (avec nuances) || HPE, Classiques
QCM || Une limite classique soulignée dans la fiche est || V:l'absence d'explication des crises générales durables|la surévaluation de la monnaie|l'oubli de la productivité|l'impossibilité d'échanges || Crises globales et monnaie peu intégrées || HPE, Classiques
QCM || Chez Malthus, la pression démographique entraîne || V:une pression à la baisse sur les salaires|une hausse de l'intérêt naturel|une disparition de la rente|un excédent commercial automatique || L'offre de travail augmente plus vite que les subsistances || HPE, Classiques
QCM || La « valeur » pour Smith et Ricardo renvoie prioritairement à || V:la quantité de travail|l'utilité cardinale|le taux d'intérêt|la quantité de monnaie || Valeur-travail avant la révolution marginaliste || HPE, Classiques
QCM || La transition vers les classiques passe par || V:les pré-classiques et les physiocrates|la synthèse néo-keynésienne|le monétarisme|la théorie des jeux || Filiation expliquée dans la fiche || HPE, Transition
|| HPE, RIAE, Ricardo, Smith, Marx, Consommation, Investissement, Prix, Offre-Demande, DragMatch
