=== INTRODUCTION - STATUT DE L'ECONOMIE ===

QCM || Lesquels des éléments suivants suggèrent que l'économie peut être considérée comme une science ? || V:On parle de sciences économiques, prix Nobel depuis 1969, modélisation mathématique|Seulement le prix Nobel|Uniquement la modélisation|Seulement le nom "sciences économiques"
QCM || Qu'est-ce qui peut expliquer la coexistence de paradigmes en économie ? || Impossible|V:Fragilité expérimentation explique coexistence possible|Temporaire seulement|Inadmissible

QCM || Dans le paradigme libéral/classique, à quoi est imputé le chômage ? || Insuffisance demande|V:Salaires trop élevés par rapport productivité|Manque formation|Problème technologique

QCM || Selon le paradigme keynésien, quelle est la cause centrale du chômage ? || Salaires trop élevés|V:Insuffisance de la demande|Surproduction|Problème offre

DragMatch || Associez chaque auteur à l'idée centrale de son apport || Adam Smith:Main invisible et rôle de la concurrence, David Ricardo:Rente différentielle et terres de qualité, Thomas Malthus:Population géométrique et rendements décroissants, Karl Marx:Plus-value et travail abstrait, Carl Menger:Utilité marginale subjective, William Jevons:Utilité marginale mesurable, Léon Walras:Équilibre général et tâtonnement, Alfred Marshall:Équilibre partiel et productivité marginale, Vilfredo Pareto:Optimum de Pareto || Cartographier les apports sans retenir des dates.

=== ECOLE CLASSIQUE - VALEUR TRAVAIL ===

QCM || À quelle période l'école classique apparaît-elle principalement ? || XVIIe siècle|V:XVIIIe siècle|XIXe siècle|XXe siècle

QCM || Quelles sont les questions centrales abordées par l'école classique ? || Prix et utilité|V:Création richesse, formation valeur, répartition équitable|Consommation et production|Marché et concurrence

QCM || Quel critère permet de rattacher un auteur à l'école classique ? || Utilité marginale|V:Valeur d'un bien repose sur le travail|Préférences individuelles|Équilibre marché

QCM || Lesquels des économistes suivants appartiennent à l'école classique ? || Walras, Jevons, Menger|V:Adam Smith, David Ricardo, Robert Malthus, Karl Marx|Marshall, Pareto|Keynes, Friedman

QCM || Sur le plan idéologique, comment certains classiques se distinguent-ils ? || Tous libéraux|V:Smith libéral, Marx socialiste/communiste|Tous socialistes|Tous conservateurs

QCM || Parmi les propositions suivantes, laquelle décrit la sous-catégorie anglaise des classiques ? || Marx et Ricardo|V:Smith et Ricardo - libéralisme économique|Malthus et Marx|Smith et Malthus

QCM || Dans le sens historique en économie, que signifie plutôt « être libéral » ? || État interventionniste|V:Croire en l'efficacité du marché, avec un État non interventionniste direct|État planificateur|État propriétaire

QCM || Quels sont les trois piliers associés au libéralisme économique ? || État, marché, société|V:Individualisme, liberté économique, équilibre économique|Solidarité, égalité, fraternité|Ordre, autorité, tradition

QCM || Quel rôle l'État doit-il tenir selon les libéraux ? || Actif et interventionniste|V:Arbitre qui encadre et garantit liberté économique|Propriétaire moyens production|Planificateur central

QCM || Selon Aristote, combien de notions de valeur distingue-t-on et lesquelles ? || Une seule valeur|V:Deux valeurs - usage et échange|Trois valeurs|Valeur unique

QCM || La valeur d'usage renvoie à : || Capacité d'échange|V:Utilité du bien|Prix du bien|Rareté du bien

QCM || Quelle est la bonne définition de la « valeur d'échange » ? || Utilité du bien|V:Nombre d'unités d'autres biens obtenus en échange|Coût de production|Travail incorporé

QCM || Selon Smith, quel lien existe-t-il entre la valeur d'usage et la valeur d'échange ? || Toujours proportionnelles|V:Non liées selon Smith|Inversement proportionnelles|Parfaitement corrélées

QCM || Dans le paradoxe de l'eau et du diamant, que dire de l'eau ? || Valeur usage faible, échange élevée|V:Valeur usage max, échange minimale|Valeurs équilibrées|Valeur usage nulle

QCM || Dans le paradoxe de l'eau et du diamant, que dire du diamant ? || V:Valeur usage minimale, échange max|Valeur usage max, échange faible|Valeurs équilibrées|Aucune valeur

QCM || Quelle condition sur la valeur d'usage est nécessaire pour qu'un bien ait une valeur d'échange ? || Valeur usage nulle|V:Certaine valeur usage nécessaire mais pas proportionnelle|Valeur usage max|Parfaite proportionnalité

QCM || Quel étalon de mesure Smith recherche-t-il pour comparer les valeurs ? || Qui varie dans temps|V:Ne varie ni temps ni espace|Variable selon lieu|Flexible

QCM || Quel étalon Smith retient-il finalement pour mesurer la valeur ? || Métaux précieux|V:Effort humain, travail|Monnaie|Blé

QCM || Comment Smith définit-il la valeur-travail comme étalon ? || Variable selon personne|V:Même pour tout monde - coût renoncement repos|Différente par classe|Dépend du bien

QCM || Dans la société « primitive » selon Smith, quelle est la structure sociale ? || Classes sociales|V:Pas de classes sociales, chaque travailleur récupère intégralement produit|Inégalités|Propriété privée

QCM || Dans l'exemple de la chasse au castor et au daim chez Smith, quels temps de travail sont associés ? || Castor 1h, daim 2h|V:Castor 2h, daim 1h|Castor 3h, daim 1h|Temps égal

QCM || Toujours chez Smith, quelle contrepartie en castors obtient-on pour 1 daim dans la société primitive ? || 2 castors|V:1/2 castor|1 castor|3 castors

QCM || Dans la société avancée décrite par Smith, combien de classes distingue-t-on et lesquelles ? || Deux classes|V:Trois classes - travailleurs, propriétaires moyens production, propriétaires terriens|Quatre classes|Une classe

QCM || Quelle « double déduction » s'opère sur la valeur dans la société avancée chez Smith ? || Une seule déduction|V:Profit (propriétaires moyens production) et rente (propriétaires terriens)|Impôts seulement|Taxes diverses

QCM || Comment Smith définit-il le profit dans la répartition de la valeur ? || Salaire élevé|V:Part aux propriétaires moyens de production|Bénéfice travailleur|Revenu État

QCM || Comment Smith définit-il la rente perçue par les propriétaires terriens ? || Loyer immobilier|V:Part aux propriétaires terriens|Profit agricole|Salaire foncier

QCM || Quelle est la conséquence de la double déduction sur la valeur d'échange ? || Salaire augmente|V:Valeur d'échange augmente avec intermédiaires|Prix diminue|Stabilité

QCM || Quelle critique Ricardo adresse-t-il à la mesure de la valeur chez Smith ? || Approche correcte|V:Pourquoi valeur double avec propriétaire foncier alors qu'efforts identiques|Méthode insuffisante|Calcul erroné

QCM || Quelle solution Ricardo propose-t-il pour mesurer la valeur ? || Travail commandé|V:Travail incorporé|Travail abstrait|Travail concret

QCM || Chez Ricardo, que signifie « travail incorporé » ? || V:Quantité travail nécessaire pour être produit|Travail commandé|Travail payé|Travail social

QCM || De quoi se compose le travail incorporé selon Ricardo ? || Travail direct seulement|V:Travail direct + travail indirect|Travail indirect seulement|Travail abstrait

QCM || Quel avantage Ricardo voit-il à sa théorie de la valeur ? || Dépend société|V:Plus d'interférence entre valeur bien et société|Complexité sociale|Subjectivité

QCM || Quelle limite pratique rencontre la mesure du travail incorporé ? || Facilité calcul|V:Difficultés pratiques prise en compte travail indirect|Simplicité|Évidence

QCM || Quelle critique Marx adresse-t-il à la comparaison des travaux chez Ricardo ? || Accord total|V:Travail trop différent par nature, compare incomparable|Méthode parfaite|Calcul correct

QCM || Comment Marx définit-il le « travail concret » ? || Travail homogène|V:Tâches propres chaque production, non comparables|Travail mesurable|Travail abstrait

QCM || Comment Marx définit-il le « travail abstrait » ? || Travail spécialisé|V:Travail impersonnel, homogène et mesurable|Travail concret|Travail individuel

QCM || Quel est, pour Marx, le véritable fondement de la valeur ? || Travail concret|V:Travail abstrait seul comparable|Utilité|Prix marché

QCM || Pour Marx, qu'est-ce que la valeur représente réellement ? || Réalité objective|V:Représentation sociale, image commune|Mesure physique|Donnée naturelle

QCM || Quelle unité Marx retient-il pour mesurer le travail abstrait ? || Travail complexe|V:Travail simple - force physique homme ordinaire|Travail spécialisé|Travail intellectuel

QCM || Qu'appelle-t-on « travail simple » chez Marx ? || Travail qualifié|V:Force physique tout homme ordinaire possède|Travail technique|Travail artistique

QCM || Comment définir le « travail complexe » chez Marx ? || Travail simple|V:Multiple du travail simple|Travail différent|Travail supérieur

QCM || Qu'entend-on par « temps de travail socialement nécessaire » ? || Travail individuel|V:Quantité travail nécessaire production dans conditions sociales normales|Travail minimum|Travail maximum

QCM || Quel est l'effet du progrès technique sur la valeur, selon Marx ? || Augmente valeur|V:Diminue temps travail socialement nécessaire|Stabilise valeur|Complexifie production

QCM || Que se passe-t-il si une entreprise n'adopte pas un progrès technique généralisé ? || Avantage compétitif|V:Valeur travail divisée, activité peut devenir non rentable|Stabilité|Profit supplémentaire

QCM || Dans la société avancée chez Smith, quels éléments composent la valeur d'un bien ? || Travail seulement|V:Travail + rente + profit|Profit seulement|Rente seulement

QCM || Comment Smith justifie-t-il la légitimité du profit ? || Arbitraire|V:Contrepartie risque prise, proportionnel au risque|Exploitation|Hasard

QCM || Qu'appelle-t-on « taux de profit naturel » chez Smith ? || Variable|V:Taux correspondant conditions normales d'investissement|Fixe|Aléatoire

QCM || Comment Smith justifie-t-il la rente foncière ? || Travail foncier|V:Contrepartie mise disposition terres aux travailleurs|Profit agricole|Investissement

QCM || Dans la répartition chez Smith, comment le salaire est-il déterminé ? || Fixe|V:Résiduel - valeur bien moins profit et rente|Principal|Prioritaire

QCM || Quel rapport de force Smith observe-t-il entre travailleurs et propriétaires des moyens de production ? || Équilibré|V:Travailleurs position faiblesse sans moyens production|Travailleurs dominants|Capitalistes faibles

QCM || Quelle justification Smith donne-t-il à l'inégalité des revenus ? || Injuste|V:Nécessaire pour croissance via investissement financé par profit|Temporaire|Évitable

QCM || Quelle idée Smith exprime-t-il à propos de la pauvreté relative et absolue ? || Pauvreté absolue seule compte|V:Mieux être pauvre société riche que riche société pauvre|Égalité nécessaire|Pauvreté relative importante

QCM || Ricardo profit définition || Principal revenu|V:Ce qui reste après paiement rente et salaire|Salaire déguisé|Rente industrielle

QCM || Dans quel domaine s'applique la notion de rente chez Ricardo ? || Tous secteurs|V:Uniquement agriculture|Industrie seulement|Services seulement

QCM || Quel principe relie la rente à la fertilité du sol chez Ricardo ? || Fixe pour toutes terres|V:Proportionnelle fertilité du sol|Inversement proportionnelle|Aléatoire

QCM || Quel est le niveau « naturel » du salaire chez Ricardo ? || Variable|V:Niveau naturel minimal de subsistance|Élevé|Négocié

QCM || À quoi doit servir la rémunération du travail selon Ricardo ? || Formation|V:Permettre travailleur capable autre journée et trouver remplaçant|Loisir|Consommation

QCM || Quelle est la tendance de long terme du taux de profit chez Ricardo ? || Théorie fausse|V:Taux profit diminue fil du temps|Taux augmente|Taux stable

QCM || Que décrit l'« état stationnaire » dans la théorie de Ricardo ? || Croissance infinie|V:Production n'augmente plus, se répète période en période|Décroissance|Stagnation temporaire

QCM || Quelle solution Ricardo propose-t-il face à la baisse tendancielle du profit ? || Aucune solution|V:Importation produits agricoles coût production plus faible|Augmenter salaires|Réduire production

QCM || Marx force travail || Travail même|V:Ensemble facultés physiques et intellectuelles pour créer choses utiles|Capacité physique|Énergie

QCM || Salaire Marx rémunère || Travail effectué|V:Force de travail|Productivité|Résultat

QCM || Valeur force travail Marx || Production réelle|V:Quantité travail socialement nécessaire à sa production|Utilité|Prix marché

QCM || Subsistance Marx || Travailleur seul|V:Travailleur et sa famille|Individu isolé|Groupe large

QCM || Mode production capitaliste Marx || Échanges directs|V:Mode de production salarial|Troc|Autarcie

QCM || Exploitation capitaliste Marx || Mythe|V:Appropriation plus-value du travail|Coopération|Partenariat

QCM || Plus-value Marx || Bonus|V:Différence entre valeur créée et salaire versé|Profit normal|Rémunération

QCM || Malthus point départ || Ses propres idées|V:Richesse des Nations d'Adam Smith|Théories Ricardo|Pensée Marx

QCM || Critique Malthus Smith || Accord total|V:Richesse peut croître sans amélioration situation individuelle|Théorie parfaite|Calcul correct

QCM || Loi naturelle Malthus || Croissance identique|V:Population géométrique, production arithmétique|Production plus rapide|Équilibre naturel

QCM || Rendements terre Malthus || Croissants|V:Décroissants car meilleures terres utilisées avant|Constants|Variables

QCM || Triple paupérisation Malthus || Enrichissement|V:Appauvrissement tous, travailleurs plus, conditions vie plus pauvres|Stabilité|Amélioration

QCM || Régulateur croissance démographique || Politique nataliste|V:Dégradation conditions de vie|Progrès médical|Éducation

=== ECOLE MARGINALISTE - PRIX ET MARCHE ===

VF || Le marginalisme rompt avec la valeur-travail des classiques en plaçant l'utilité marginale au centre de la valeur. || V || Changement de perspective : de la valeur-travail à l'utilité marginale.

QCM || Concept origine marginalisme || Valeur travail|V:Utilité marginale|Prix naturel|Coût production

QCM || Fondateurs marginalisme || Smith, Ricardo, Marx|V:Carl Menger, William Jevons, Léon Walras|Marshall, Pareto|Keynes, Schumpeter

QCM || Autre nom marginalistes || Classiques|V:Néoclassiques|Post-keynésiens|Monétaristes

QCM || Pourquoi parle-t-on (improprement) de « néoclassiques » pour les marginalistes ? || Continuité directe|V:Non justifiée - changement radical perspective|Évolution naturelle|Amélioration

QCM || En quoi diffère l'angle d'analyse entre classiques et marginalistes ? || V:Classiques ancrés réel/société, marginalistes agents marché|Même approche|Marginalistes plus réalistes|Classiques abstraits

QCM || Quel vocabulaire privilégient les marginalistes ? || Capitaliste, travailleur|V:Producteur, offreur de travail|Bourgeois, prolétaire|Propriétaire, locataire

QCM || Quelle différence d'objet d'étude oppose classiques et marginalistes ? || Même science|V:Classiques science richesse, marginalistes science choix individuels|Marginalistes plus larges|Classiques plus précis

QCM || Quelle différence d'expression (méthode) oppose classiques et marginalistes ? || Même méthode|V:Classiques littéraire, marginalistes mathématique|Classiques mathématiques|Marginalistes littéraires

QCM || Le premier à mobiliser des outils mathématiques parmi ces auteurs est : || Smith|V:Malthus avec géométrique|Ricardo|Marx

QCM || Quelle différence de théorie de la valeur oppose classiques et marginalistes ? || Même théorie|V:Classiques valeur travail, marginalistes utilité marginale|Inversé|Complémentaires

QCM || Comment Smith traite-t-il le paradoxe de l'eau et du diamant ? || Résolu par Smith|V:Rejeté par Smith|Ignoré|Expliqué différemment

QCM || Quelle réponse les marginalistes apportent-ils au paradoxe de la valeur ? || Travail incorporé|V:Rareté relative influence valeur|Utilité absolue|Coût production

QCM || Quel exemple Jevons mobilise-t-il pour discuter de la valeur ? || Diamant|V:Pourquoi perles ont valeur|Eau|Or

QCM || Quelle est l'explication « classique » de la valeur des perles ? || Rareté|V:Valeur élevée car incorporent grande quantité travail|Utilité|Beauté

QCM || Quel contre-exemple Jevons utilise-t-il pour contester l'explication classique ? || Perles chères|V:Nacre ne vaut rien malgré même travail|Plongée difficile|Rareté perles

QCM || Quelle conclusion marginaliste tire-t-on sur l'origine de la valeur ? || Déterminée par travail|V:Non déterminée par travail|Subjective seulement|Objective seulement

QCM || Pourquoi les perles ont-elles une valeur élevée selon les marginalistes ? || Travail incorporé|V:Recherchées (utiles) et rares|Belles|Chères

QCM || Quelles conditions un bien doit-il remplir pour être un « bien économique » chez Menger ? || Utilité seulement|V:Utilité reconnue ET rareté|Rareté seulement|Prix élevé

QCM || Comment définir la rareté au sens de Menger ? || Absolue|V:Relative - besoin excède quantité disponible|Physique|Temporaire

QCM || Quel exemple illustre une utilité maximale mais une rareté nulle ? || Diamant|V:Air qu'on respire|Eau|Pain

QCM || Quel caractère Menger attribue-t-il à la valeur ? || Objectif|V:Subjectif|Mesurable|Absolu

QCM || Exemple ordinateur cours || Valeur constante|V:Valeur varie selon utilité perçue et quantité|Prix fixe|Utilité fixe

QCM || Raisonnement Menger || Utilité totale|V:Utilité marginale|Coût moyen|Prix absolu

QCM || Utilité marginale rapport quantité || Proportionnelle|V:Plus quantité augmente, moins utilité augmente|Indépendante|Inverse

QCM || Menger expression utilité || Exprimable mathématiquement|V:Non exprimable - conscience mais incapable exprimer|Facilement mesurable|Toujours chiffrée

QCM || Jevons utilité définition || Propriété concrète|V:Qualité abstraite objet sert desseins|Mesure physique|Caractéristique tangible

QCM || Jevons utilité devient || Subjective seulement|V:Propriété abstraite du bien|Psychologique|Individuelle

QCM || Utilité Jevons || Non mesurable|V:Quantité mesurable|Qualitative|Relative

QCM || Loi générale Jevons || Utilité croissante|V:Degré utilité décroît avec augmentation quantité|Utilité constante|Utilité variable

QCM || Valeur bien marginalistes || Indépendante besoin|V:Plus élevée si besoin prioritaire et quantité faible|Fonction travail|Objective

QCM || Utilité premiers marginalistes || Ordinale|V:Cardinale et mesurable|Non mesurable|Relative

QCM || Conséquence 1 cardinalité || Pas de différence|V:Différence entre utilités a signification|Ordre seulement|Comparaison impossible

QCM || Conséquence 2 cardinalité || Comparaisons impossibles|V:Comparaisons interpersonnelles possibles|Subjectivité totale|Isolation individuelle

VF || Pour Pareto, on ne peut pas mesurer l'utilité de façon précise; il propose de raisonner en termes d'ordres de préférence. || V || L'utilité devient ordinale, ce qui exclut les comparaisons interpersonnelles.

QCM || Premier critique cardinalité || Jevons|V:Vilfredo Pareto|Walras|Marshall

QCM || Pareto capacité humaine || Mesurer précisément|V:Incapable mesurer utilité précisément|Calculer parfaitement|Quantifier exactement

QCM || Pareto alternative || Mesure cardinale|V:Classement préférences|Calcul précis|Quantification

QCM || Pareto utilité devient || Cardinale|V:Ordinale|Non mesurable|Absolue

QCM || Utilité ordinale signification || Valeur importante|V:Valeur aucune signification en elle-même|Mesure précise|Comparaison directe

QCM || Conséquence 1 ordinalité || Valeur absolue|V:Valeur aucune signification en elle-même|Mesure directe|Comparaison simple

QCM || Conséquence 2 ordinalité || Comparaisons possibles|V:Exclut comparaisons interpersonnelles|Facilite comparaisons|Permet moyennes

QCM || Prix naturel classiques || Prix marché|V:Dépend quantité travail, déterminé hors échange|Prix courant|Valeur subjective

QCM || Prix marché classiques || Prix naturel|V:Dépend confrontation offre/demande|Coût production|Travail incorporé

QCM || Relation prix naturel/marché || Identiques toujours|V:Différence temporaire, convergence via concurrence|Toujours différents|Indépendants

DragMatch || Associez chaque école à sa caractéristique principale || Classiques:Valeur-travail et prix naturel, Marginalistes:Utilité marginale et choix individuels, Keynésiens:Demande effective et intervention de l'État, Néoclassiques:Modélisation mathématique et équilibre, Walrassiens:Tâtonnement et commissaire-priseur || Repérer les axes conceptuels par école.

QCM || Profit supérieur normal || Baisse offre|V:Attire producteurs, hausse offre, baisse prix|Stabilité|Hausse prix

QCM || Profit inférieur normal || Hausse offre|V:Sortie producteurs, baisse offre, hausse prix|Stabilité|Baisse prix

QCM || Marginalistes prix || Naturel et marché|V:Un seul prix - marché est naturel|Trois prix|Prix subjectifs

QCM || Prix marché marginalistes || Coût production|V:Révèle utilités marginales perçues|Travail incorporé|Valeur objective

QCM || Négociation prix exemple || Prix fixe|V:Négociation jusqu'accord reflétant utilités marginales|Imposé|Aléatoire

QCM || Prix d'équilibre marginalistes || Prix naturel différent|V:Prix naturel équivaut prix équilibre marché|Prix coût|Prix travail

QCM || Demande utilité marginale || Croissante|V:Décroissante - baisse propension payer|Constante|Variable

QCM || Marshall contribution || Demande seulement|V:Symétrie offre/demande via productivité marginale|Offre seulement|Prix seulement

QCM || Productivité marginale || Croissante|V:Décroissante comme utilité marginale|Constante|Indépendante

QCM || Offre coût marginal || Décroissante|V:Croissante par rapport prix|Constante|Variable

QCM || Unicité équilibre || Plusieurs équilibres|V:Un et un seul équilibre marché|Aucun équilibre|Équilibre variable

QCM || Marshall raisonnement || Équilibre général|V:Équilibre partiel|Déséquilibre|Dynamique

QCM || Équilibre partiel || Tous marchés|V:Marché particulier, autres constants|Aucun marché|Plusieurs marchés

QCM || Limite équilibre partiel || Réaliste|V:Restrictif - interactions entre marchés|Complet|Parfait

QCM || Walras raisonnement || Équilibre partiel|V:Équilibre général|Déséquilibre|Statique

QCM || Équilibre général || Un marché|V:Tous marchés et agents en équilibre|Quelques marchés|Aucun marché

QCM || Optimum Pareto || Égalité parfaite|V:Impossible augmenter bien-être un sans diminuer autre|Maximum individuel|Profit maximum

QCM || Équilibre concurrence parfaite || Sous-optimal|V:Optimum maximisant bien-être collectif|Inefficace|Injuste

QCM || Unicité prix équilibre || Prix différents|V:Prix unique s'impose tous agents|Prix variables|Prix négociables

QCM || Processus marshallien || Prix s'ajustent|V:Quantités s'ajustent selon écart prix|Simultané|Aléatoire

QCM || Excès demande Marshall || Baisse prix production|V:Hausse prix et production|Stagnation|Baisse production

QCM || Stabilité équilibre || Instable|V:Capacité atteindre et rejoindre après perturbation|Fragile|Temporaire

QCM || Tâtonnement walrassien inspiration || Théorie pure|V:Bourse de Paris|Marché agricole|Modèle abstrait

QCM || Commissaire-priseur rôle || Fixe prix final|V:Crie prix, agents annoncent quantités|Impose échanges|Régule marché

QCM || Échanges tâtonnement || Immédiats|V:Seulement quand quantités identiques|Permanents|Interdits

DragMatch || Associez chaque concept à sa description || Valeur d'usage:Utilité du bien pour l'individu, Valeur d'échange:Quantité d'autres biens obtenus en échange, Prix naturel:Déterminé par les conditions de production hors échange, Prix de marché:Résulte de la confrontation de l'offre et de la demande || Clarifier les définitions sans lister numériquement.

QCM || Interdépendance ajustements || Indépendants|V:Ajustement un bien impacte tous autres|Séquentiels|Isolés

QCM || Convergence tâtonnement || Impossible|V:Processus converge vers équilibre général|Aléatoire|Divergente

QCM || Concurrence Smith || Inefficace|V:Condition efficacité et harmonie sociale|Dangereuse|Inutile

QCM || Main invisible || Intervention État|V:Intérêt personnel assure intérêt société|Planification|Régulation

QCM || Concurrence selon marginalistes || À tout va|V:Pas souhaitable dans certains cas|Toujours bonne|Interdite

QCM || Monopoles moraux Walras || Rentables privé|V:Non rentables privé mais améliorent bien-être société|Interdits|Temporaires

QCM || Exemple monopole moral || Entreprise privée|V:Musée du Louvre|Banque|Usine

QCM || Monopoles naturels || Coûts variables élevés|V:Coûts fixes élevés|Coûts nuls|Coûts faibles

QCM || Effet nombre entreprises monopole naturel || Prix diminuent|V:Plus entreprises, prix plus élevés|Prix constants|Prix variables

QCM || Solution monopole naturel || Concurrence libre|V:Une seule entreprise encadrée par État|Interdiction|Nationalisation

=== PARTIELS / ANCIENS EXAMENS ===

QCM || Le prix Nobel d’économie 2024 a été décerné à : || V:Acemoglu, Johnson et Robinson pour leurs travaux sur la façon dont les institutions se forment et affectent la prospérité|Georges Akerlof pour ses travaux sur les asymétries de l’information et la sélection adverse|Stiglitz et Shapiro pour leurs travaux sur le marché du travail et le salaire d’efficience|Aucun des économistes mentionnés dans les propositions précédentes || Le prix Nobel 2024 a récompensé les travaux sur les institutions (Acemoglu, Johnson, Robinson).

QCM || En reprenant les termes de David Ricardo et d’Adam Smith, le prix naturel d’un bien est supérieur à son prix de marché si : || la production de ce bien nécessite 2 heures de travail et qu’il est vendu 15 euros sur le marché|V:la production de ce bien nécessite 2 heures de travail et qu’il est vendu 25 euros sur le marché|la production de ce bien nécessite 2 heures de travail et qu’il est échangé contre un autre nécessitant 1 heure de travail|la production de ce bien nécessite 2 heures de travail et qu’il est échangé contre un autre nécessitant 3 heures de travail || Prix naturel = valeur en travail, prix marché > prix naturel → bien surévalué.

QCM || Supposons qu’un bien nécessite 1 heure de travail pour être produit. L’heure de travail vaut 15 euros. Ce bien qui était vendu 18 euros voit son prix baisser jusqu’à 15 euros. Adam Smith et David Ricardo expliquent cette évolution par : || l’intervention de l’État|V:la concurrence|la baisse du coût de production|la baisse de son utilité marginale || Concurrence ramène le prix de marché vers le prix naturel.

QCM || L’image du commissaire-priseur est utilisée par Walras pour : || décrire le processus d’échange dans une économie de marché|décrire l’équilibre du marché du travail|V:décrire le processus de tâtonnement vers l’équilibre général|décrire les trois propositions précédentes || Commissaire-priseur = ajustement progressif des prix par tâtonnement.

